model,persona_age_slope
llama2_7b,0.2744785725047892
llama2_7b_chat,0.0630233108762564
llama2_13b,0.2616715813943478
llama2_13b_chat,-0.0078348651499171
llama3_8b,0.3652575389052713
llama3_8b_instruct,0.2618760627650187
llama3.1_8b,0.4877849286467638
llama3.1_8b_instruct,0.2361652209475021
mistral_7b_v01,0.2621666415549195
mistral_7b_plus,0.2809143545922211
qwen1.5_7b,-0.0374093286553735
qwen1.5_7b_chat,-0.0960201467960998
qwen2_7b,-0.1133472524161088
qwen2_7b_instruct,-0.5417141996168665
gpt3.5,1.856669321337093
gpt4,1.0102240685335455
gpt4o_mini,1.8100583310015284
