Model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,model,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.11666666666666665,-0.10000000000000002,-0.03666666666666667,0.02666666666666667,0.01333333333333333,-0.043333333333333335,0.07,-0.06,0.10666666666666665,0.0,0.08666666666666667,0.14666666666666667,0.15,0.02,0.03333333333333333,0.0,0.14,-0.06,-0.07666666666666666,0.13,0.0,0.10666666666666667,-0.15666666666666665,-0.08,0.02666666666666667,0.07666666666666667,0.10666666666666667,-0.09333333333333334,0.24666666666666667,,0.16333333333333333,0.06,-0.016666666666666666,0.09333333333333334,0.09333333333333334,0.006666666666666667,0.08666666666666667,-0.08666666666666667,-0.13,-0.10666666666666667,-0.06666666666666667
llama2_7b_chat,-0.036666666666666674,0.02,0.02666666666666667,0.15000000000000002,-0.06,-0.04,0.03333333333333333,0.04666666666666666,0.043333333333333335,0.0,-0.13333333333333333,0.056666666666666664,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.006666666666666668,0.06999999999999999,-0.07666666666666666,-0.056666666666666664,0.07666666666666667,0.03333333333333333,0.02,-0.04666666666666667,0.0,-0.15,0.023333333333333334,-0.01,0.003333333333333334,-0.04999999999999999,,0.15666666666666668,-0.07666666666666666,0.03333333333333333,0.02333333333333333,-0.13333333333333333,0.02666666666666666,0.07666666666666666,-0.016666666666666666,0.016666666666666663,-0.06666666666666667,-0.06333333333333334
llama2_13b,-0.11666666666666665,-0.10000000000000002,0.0,0.05000000000000001,-0.01,-0.05000000000000001,0.08,-0.043333333333333335,0.15,0.03,0.08,0.17,0.13333333333333333,0.02,0.05000000000000001,-0.016666666666666666,0.17,-0.05000000000000001,-0.08,0.11666666666666668,-0.006666666666666667,0.12,-0.15,-0.08,0.03,0.09333333333333334,0.09000000000000001,-0.05000000000000001,0.27,,0.17,0.05000000000000001,0.0,0.09333333333333334,0.10000000000000002,0.05000000000000001,0.07,-0.05000000000000001,-0.14666666666666667,-0.10666666666666667,-0.05000000000000001
llama2_13b_chat,-0.15666666666666665,-0.020000000000000007,-0.10666666666666667,-0.06666666666666667,0.16333333333333333,0.06,-0.02666666666666667,-0.11666666666666665,-0.003333333333333336,0.13,-0.02333333333333334,0.04,0.04,0.0,0.02,0.01,0.09666666666666668,0.016666666666666666,0.013333333333333336,0.0,0.023333333333333334,0.07666666666666667,0.049999999999999996,-0.06666666666666667,-0.006666666666666668,0.0033333333333333327,0.016666666666666666,-0.06,0.020000000000000004,,-0.06333333333333334,-0.02,0.08333333333333336,-0.03,0.08333333333333333,-0.04,-0.01,-0.01333333333333333,0.09333333333333334,-0.22333333333333336,-0.09000000000000001
llama3_8b,-0.15000000000000002,-0.07,0.0,0.15666666666666665,-0.06,0.05333333333333334,-0.10000000000000002,-0.016666666666666663,0.0,-0.02666666666666666,-0.02,0.17666666666666667,0.14,-0.04,0.006666666666666668,0.06666666666666667,0.13,-0.09666666666666668,-0.08,0.013333333333333336,0.07333333333333332,0.11,-0.056666666666666664,0.013333333333333334,0.08333333333333333,0.01,-0.013333333333333336,-0.12333333333333334,0.03,,0.05333333333333334,0.030000000000000002,-0.06666666666666667,0.07,0.08333333333333333,-0.016666666666666666,-0.04666666666666667,-0.10666666666666667,0.016666666666666666,0.0,0.01
llama3_8b_instruct,-0.09333333333333334,-0.11666666666666665,0.03666666666666667,0.07666666666666667,0.01,-0.11666666666666665,0.05333333333333334,-0.056666666666666664,0.09000000000000001,-0.01,0.09666666666666666,0.16333333333333333,0.13333333333333333,0.04,0.05000000000000001,0.0,0.18000000000000002,-0.05000000000000001,-0.08666666666666667,0.09999999999999999,0.013333333333333334,0.15666666666666665,-0.14,-0.07666666666666667,-0.02666666666666667,0.006666666666666668,0.11666666666666665,-0.05000000000000001,0.21,,0.11666666666666665,0.043333333333333335,-0.0033333333333333327,0.12333333333333334,0.18666666666666668,0.013333333333333334,0.006666666666666668,-0.03666666666666667,-0.11666666666666665,-0.12666666666666668,-0.03333333333333333
llama3.1_8b,-0.13333333333333333,-0.02666666666666667,0.11666666666666668,0.23333333333333336,-0.05333333333333332,-0.013333333333333336,-0.043333333333333335,0.06,0.006666666666666668,0.0033333333333333327,0.02666666666666667,0.2333333333333333,0.023333333333333334,0.023333333333333334,0.06333333333333334,0.006666666666666668,0.15666666666666665,-0.16,-0.1366666666666667,0.03333333333333333,0.03666666666666667,0.15,-0.10666666666666667,0.013333333333333336,0.10000000000000002,-0.020000000000000007,-0.11666666666666665,-0.10000000000000002,0.05666666666666667,,0.12333333333333334,-0.003333333333333327,-0.17333333333333334,0.06666666666666667,0.08666666666666667,0.11666666666666668,-0.12333333333333334,-0.12666666666666668,0.043333333333333335,-0.08333333333333333,-0.01
llama3.1_8b_instruct,-0.09000000000000001,-0.09000000000000001,-0.02666666666666667,0.006666666666666667,-0.02666666666666667,-0.07666666666666667,0.09333333333333334,-0.11666666666666665,0.09000000000000001,0.02666666666666667,0.05333333333333334,0.17333333333333334,0.16666666666666666,0.030000000000000002,0.03333333333333333,0.016666666666666666,0.17333333333333334,-0.05000000000000001,-0.09333333333333334,0.15666666666666665,0.03333333333333333,0.13,-0.16333333333333333,-0.07,0.02666666666666667,0.06,0.10000000000000002,-0.05000000000000001,0.25333333333333335,,0.17333333333333334,0.07,-0.05000000000000001,0.10666666666666667,0.07,0.030000000000000002,0.07666666666666667,-0.05333333333333334,-0.08,-0.10000000000000002,-0.05000000000000001
mistral_7b_v01,-0.10666666666666667,-0.10000000000000002,0.0,0.05000000000000001,0.0,-0.05000000000000001,0.08,-0.05000000000000001,0.1466666666666667,0.03,0.08,0.17,0.14,0.02,0.05000000000000001,0.01,0.17,-0.05000000000000001,-0.08,0.15,0.0,0.12,-0.15,-0.08,0.03666666666666667,0.10000000000000002,0.08333333333333333,-0.07333333333333332,0.2866666666666667,,0.17,0.06333333333333334,-0.006666666666666667,0.10000000000000002,0.10000000000000002,0.05000000000000001,0.08,-0.06666666666666667,-0.10333333333333333,-0.10666666666666667,-0.06
mistral_7b_plus,-0.10000000000000002,-0.14,0.05333333333333332,0.056666666666666664,0.006666666666666668,-0.09333333333333334,0.08666666666666667,-0.07,0.1466666666666667,0.03,0.08,0.17,0.15,0.02666666666666667,0.05333333333333334,0.03333333333333333,0.18333333333333335,-0.10333333333333333,-0.08666666666666667,0.14,0.03666666666666667,0.12,-0.15666666666666665,-0.06666666666666667,0.03333333333333333,0.09333333333333334,0.08333333333333333,-0.02666666666666667,0.31,,0.18000000000000002,0.03333333333333333,0.023333333333333334,0.08,0.09333333333333334,0.05000000000000001,0.07,-0.02666666666666667,-0.18333333333333335,-0.10999999999999999,-0.05666666666666667
