model,biased,anti_biased,unknown
llama2_7b,555.3333333333334,558.0,486.6666666666667
llama2_7b_chat,550.0,602.0,448.0
llama2_13b,539.6666666666666,533.6666666666666,526.6666666666666
llama2_13b_chat,816.6666666666666,751.6666666666666,31.666666666666668
llama3_8b,785.6666666666666,755.3333333333334,59.0
llama3_8b_instruct,652.6666666666666,609.0,338.3333333333333
llama3.1_8b,826.3333333333334,733.6666666666666,40.0
llama3.1_8b_instruct,556.6666666666666,517.0,526.3333333333334
mistral_7b_v01,532.6666666666666,522.6666666666666,544.6666666666666
mistral_7b_plus,553.3333333333334,512.0,534.6666666666666
qwen1.5_7b,580.3333333333334,580.0,439.6666666666667
qwen1.5_7b_chat,651.3333333333334,709.6666666666666,239.0
qwen2_7b,450.3333333333333,419.0,730.6666666666666
qwen2_7b_instruct,484.6666666666667,797.0,318.3333333333333
gpt3.5,1176.3333333333333,387.0,36.66666666666666
gpt4,1050.6666666666667,386.6666666666667,162.66666666666666
gpt4o_mini,1179.0,380.0,41.0
