model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.06,-0.01,-0.18,0.15,-0.21,0.21,-0.18,-0.05,0.06,0.04,-0.0,0.04,0.01,0.04,0.07,0.05,-0.04,-0.27,0.18,0.0,0.01,0.0,-0.18,0.16,-0.06,-0.02,-0.07,-0.05,-0.08,-0.18,0.09,0.08,0.06,0.0,-0.15,-0.12,0.02,-0.04,-0.11,0.07
llama2_7b_chat,0.1,0.21,0.0,0.02,0.01,0.04,0.16,0.02,0.02,0.02,0.03,0.16,0.07,0.03,-0.01,-0.03,0.14,-0.05,0.11,-0.04,0.07,-0.04,-0.01,0.17,-0.02,0.0,-0.08,0.02,-0.14,0.09,-0.07,0.0,0.09,0.07,0.07,-0.19,0.02,-0.12,-0.04,0.02
llama2_13b,-0.04,0.0,-0.22,0.2,-0.21,0.25,-0.17,-0.07,-0.03,0.08,-0.02,0.08,-0.02,0.05,0.09,-0.02,-0.05,-0.31,0.2,-0.01,-0.05,0.02,-0.2,0.16,-0.12,-0.01,-0.07,-0.06,-0.09,-0.16,0.08,0.07,0.05,-0.02,-0.15,-0.16,0.05,-0.08,-0.11,0.06
llama2_13b_chat,-0.15,0.01,0.02,-0.02,0.12,0.03,-0.09,0.04,-0.07,0.02,-0.03,0.01,0.06,0.05,0.03,0.0,-0.08,-0.07,-0.14,0.04,-0.09,0.05,0.06,-0.01,-0.02,0.07,0.07,-0.06,0.11,-0.11,0.26,-0.15,0.01,0.07,-0.04,0.13,0.01,0.08,-0.06,0.02
llama3_8b,0.02,-0.12,-0.1,0.14,-0.02,0.03,-0.08,-0.04,0.04,-0.01,0.03,0.0,-0.06,-0.02,0.1,-0.11,0.01,-0.13,0.1,0.0,-0.1,0.08,-0.01,0.04,0.01,-0.06,0.02,-0.12,-0.13,-0.02,0.06,0.02,-0.0,0.12,-0.07,-0.03,0.02,-0.13,0.03,0.1
llama3_8b_instruct,-0.05,-0.04,-0.16,0.19,-0.16,0.23,-0.23,-0.02,-0.07,0.12,0.04,0.04,-0.03,0.1,0.17,-0.02,-0.03,-0.21,0.21,0.05,-0.0,0.05,-0.17,0.18,-0.11,0.06,0.04,-0.08,-0.17,-0.14,0.09,0.1,0.07,0.08,-0.16,-0.04,0.03,-0.13,-0.03,0.13
llama3.1_8b,0.02,0.0,-0.21,0.22,-0.06,0.11,-0.02,-0.01,-0.04,0.07,0.14,0.02,0.01,-0.02,0.23,-0.08,-0.04,0.05,0.05,0.07,-0.17,0.21,-0.11,-0.15,-0.09,-0.02,0.07,-0.13,-0.17,-0.07,0.1,0.15,-0.05,0.1,-0.11,-0.07,-0.04,-0.1,-0.0,0.19
llama3.1_8b_instruct,-0.08,-0.01,-0.21,0.21,-0.19,0.24,-0.24,-0.03,-0.05,0.1,0.04,-0.03,-0.03,0.09,0.11,-0.02,-0.05,-0.27,0.22,-0.0,-0.04,0.06,-0.17,0.15,-0.09,0.05,-0.04,-0.06,-0.14,-0.22,0.12,0.07,0.03,0.03,-0.12,-0.01,0.05,-0.09,-0.07,0.06
mistral_7b_v01,-0.07,-0.01,-0.22,0.2,-0.16,0.22,-0.17,-0.06,-0.03,0.08,-0.03,0.08,0.01,0.07,0.11,-0.01,-0.04,-0.23,0.2,-0.03,-0.04,0.01,-0.2,0.15,-0.11,-0.03,-0.07,-0.1,-0.08,-0.17,0.1,0.07,0.05,-0.05,-0.16,-0.15,0.06,-0.11,-0.07,0.05
mistral_7b_plus,-0.11,0.08,-0.16,0.24,-0.08,0.22,-0.19,-0.07,-0.04,0.06,-0.02,0.07,0.01,0.03,0.11,-0.04,-0.04,-0.13,0.17,0.06,-0.09,0.02,-0.16,0.15,-0.09,-0.02,-0.05,-0.11,-0.1,-0.18,0.17,0.05,0.07,0.02,-0.19,-0.08,0.09,-0.06,-0.1,0.06
qwen1.5_7b,-0.04,-0.06,-0.27,0.13,-0.21,0.08,-0.13,0.01,0.05,0.16,-0.05,0.05,-0.06,0.07,-0.01,-0.16,0.11,-0.14,-0.02,0.01,-0.02,-0.04,-0.15,0.0,-0.07,0.07,-0.13,-0.05,-0.05,-0.13,-0.03,-0.0,0.06,-0.02,-0.08,-0.08,0.02,-0.18,-0.05,-0.02
qwen1.5_7b_chat,-0.05,0.04,0.21,-0.1,0.03,-0.15,0.07,-0.04,0.09,-0.04,0.01,0.03,0.14,-0.05,-0.07,-0.02,0.01,-0.07,0.12,0.12,-0.11,-0.1,0.03,0.16,-0.07,0.0,-0.16,0.08,-0.1,0.0,0.02,0.11,-0.06,-0.08,0.08,-0.06,0.12,-0.09,0.08,0.05
qwen2_7b,0.11,-0.08,-0.12,-0.07,0.08,-0.14,0.01,0.15,0.08,-0.16,0.04,-0.07,0.02,-0.11,-0.04,0.06,0.01,0.11,-0.03,0.05,0.02,0.09,0.14,0.02,0.07,-0.06,0.16,-0.05,-0.09,0.03,-0.01,-0.02,0.02,0.04,-0.01,0.21,-0.08,0.06,0.1,0.08
qwen2_7b_instruct,0.16,-0.09,-0.08,-0.22,0.03,-0.34,0.44,-0.05,0.02,-0.2,-0.12,0.38,0.08,-0.31,-0.29,0.19,0.27,-0.08,-0.06,-0.38,0.27,-0.34,-0.08,-0.05,0.3,0.12,-0.23,0.18,0.48,0.41,-0.33,0.09,0.38,-0.29,0.2,-0.28,-0.05,-0.27,-0.13,-0.1
