model,persona_age_slope
llama2_7b,0.2673109623539035
llama2_7b_chat,0.1511978303450354
llama2_13b,0.2337867797412773
llama2_13b_chat,-0.0780903592414817
llama3_8b,0.3294410125056501
llama3_8b_instruct,0.1920833423018145
llama3.1_8b,0.385328999763232
llama3.1_8b_instruct,0.2561075356766181
mistral_7b_v01,0.2826793516864332
mistral_7b_plus,0.1687724660453304
qwen1.5_7b,0.046836996061043
qwen1.5_7b_chat,0.1017133386426741
qwen2_7b,-0.1932456574614176
qwen2_7b_instruct,-0.3056027895563831
gpt3.5,2.199046471082029
gpt4,1.258249208979961
gpt4o_mini,1.8109408295486342
