model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.1,-0.1,-0.03,0.05,0.03,-0.05,0.08,-0.05,0.12,0.03,0.08,0.17,0.15,0.02,0.05,0.0,0.15,-0.05,-0.08,0.17,0.0,0.12,-0.15,-0.08,0.03,0.08,0.1,-0.05,0.3,0.17,0.1,0.0,0.1,0.08,0.05,0.08,-0.08,-0.12,-0.1,-0.05
llama2_7b_chat,-0.07,0.0,0.0,0.08,0.02,-0.05,0.15,-0.03,0.15,0.03,-0.02,0.02,0.05,0.02,0.08,0.05,0.17,-0.08,-0.15,-0.05,0.1,0.08,-0.07,0.0,0.0,-0.03,0.05,0.02,0.05,0.22,-0.1,0.12,0.12,-0.25,0.0,0.08,-0.03,-0.1,-0.15,-0.17
llama2_13b,-0.1,-0.1,0.0,0.05,0.0,-0.05,0.08,-0.05,0.15,0.03,0.08,0.17,0.15,0.02,0.05,-0.05,0.17,-0.05,-0.08,0.15,0.0,0.12,-0.15,-0.08,0.03,0.1,0.07,-0.05,0.28,0.17,0.05,0.0,0.1,0.1,0.05,0.08,-0.05,-0.12,-0.1,-0.05
llama2_13b_chat,-0.22,0.02,-0.1,-0.08,0.27,-0.05,-0.05,-0.15,0.02,0.2,0.12,0.05,-0.03,0.05,-0.02,0.0,0.02,0.08,-0.08,0.0,0.02,0.1,0.15,0.02,-0.07,0.0,0.03,-0.1,-0.12,-0.05,0.07,0.1,-0.15,0.15,0.03,0.0,-0.03,0.1,-0.22,-0.12
llama3_8b,-0.1,-0.18,0.03,0.12,0.0,0.1,-0.1,0.1,0.0,0.07,-0.03,0.05,0.07,0.03,0.02,0.05,0.07,-0.05,-0.12,-0.18,0.12,-0.05,0.0,0.0,0.05,-0.03,-0.07,-0.17,0.03,0.0,0.05,-0.05,0.03,0.07,-0.05,0.08,-0.15,0.03,0.0,0.05
llama3_8b_instruct,-0.08,0.0,0.05,0.05,-0.05,-0.15,0.05,-0.15,0.08,0.0,0.12,0.15,0.1,0.05,0.05,0.0,0.17,-0.1,-0.1,0.03,0.02,0.2,-0.12,-0.1,-0.03,0.0,0.13,-0.05,0.1,0.08,-0.02,0.02,0.17,0.22,0.02,0.05,0.02,-0.08,-0.13,-0.05
llama3.1_8b,0.02,-0.08,0.18,0.3,-0.18,0.03,0.1,0.05,0.07,0.0,-0.07,0.3,0.05,0.05,0.12,0.1,0.15,-0.08,-0.2,0.08,0.12,0.05,-0.07,0.05,-0.03,0.02,-0.17,-0.05,0.0,0.2,-0.18,-0.12,0.0,-0.03,0.1,-0.1,-0.17,0.1,-0.1,-0.05
llama3.1_8b_instruct,-0.05,-0.12,-0.05,-0.05,-0.08,-0.1,0.1,-0.12,0.05,0.05,0.0,0.2,0.2,0.05,0.07,0.05,0.2,-0.05,-0.18,0.2,0.05,0.15,-0.17,-0.05,0.0,0.0,0.1,-0.05,0.23,0.17,0.08,-0.07,0.1,0.03,0.02,0.1,-0.08,0.0,-0.1,-0.05
mistral_7b_v01,-0.1,-0.1,0.0,0.05,0.0,-0.05,0.08,-0.05,0.12,0.03,0.08,0.17,0.12,0.02,0.05,0.03,0.17,-0.05,-0.08,0.15,0.0,0.12,-0.15,-0.08,0.05,0.1,0.1,-0.12,0.3,0.17,0.07,-0.02,0.1,0.1,0.05,0.08,-0.1,-0.07,-0.12,-0.08
mistral_7b_plus,-0.08,-0.1,0.12,0.03,0.05,-0.15,0.08,-0.08,0.17,0.03,0.08,0.17,0.15,-0.07,0.03,-0.07,0.23,-0.08,-0.08,0.1,0.03,0.12,-0.15,-0.08,0.1,0.15,0.03,0.05,0.33,0.15,0.0,0.05,0.02,0.1,0.1,0.08,0.0,-0.23,-0.1,-0.1
qwen1.5_7b,0.08,-0.05,0.07,0.0,0.03,-0.07,0.3,0.05,0.22,-0.18,0.03,0.12,-0.03,-0.15,-0.08,0.15,-0.28,-0.08,0.0,0.12,0.15,0.1,0.0,-0.03,-0.05,0.15,0.12,0.05,-0.03,-0.08,0.12,-0.1,0.05,0.02,0.05,-0.08,0.07,-0.08,0.08,-0.08
qwen1.5_7b_chat,-0.1,0.05,0.08,0.02,-0.03,0.05,-0.12,0.05,-0.15,0.08,-0.12,0.02,-0.02,-0.07,-0.12,0.05,-0.12,-0.13,-0.05,0.02,-0.02,0.05,0.1,0.1,-0.2,-0.12,-0.38,0.05,-0.2,-0.05,-0.2,-0.08,-0.22,0.0,0.15,-0.08,0.1,0.05,0.2,0.05
qwen2_7b,0.18,0.07,0.15,-0.08,0.07,0.12,-0.05,0.12,0.05,0.0,-0.03,-0.2,-0.15,0.15,-0.1,-0.05,-0.12,0.05,0.08,-0.23,-0.05,0.0,0.08,0.05,-0.12,0.03,-0.1,0.02,-0.15,-0.1,0.1,0.02,0.0,-0.08,0.0,-0.1,0.05,-0.15,0.15,0.08
qwen2_7b_instruct,0.2,0.0,0.15,0.0,-0.02,0.1,-0.02,0.0,-0.08,-0.03,-0.1,-0.1,-0.1,-0.1,0.03,0.08,-0.03,0.05,0.03,-0.08,0.08,-0.23,0.25,0.12,-0.08,0.03,-0.15,0.12,-0.3,-0.15,-0.07,-0.08,-0.08,-0.1,0.05,-0.03,-0.1,0.12,0.18,0.2
gpt3.5,-0.65,-0.45,0.15,0.28,-0.5,0.37,-0.05,0.1,-0.57,-0.05,0.08,0.12,0.35,0.1,0.8,0.57,0.08,-0.3,-0.33,0.45,-0.05,0.62,-0.15,-0.05,-0.15,-0.42,-0.58,-0.25,0.25,0.25,0.52,-0.1,0.2,0.1,0.3,-0.4,-0.35,-0.23,-0.12,-0.05
gpt4,-0.48,-0.22,0.32,0.25,-0.23,-0.02,-0.6,0.03,-0.22,-0.07,-0.05,-0.25,-0.05,0.03,0.6,0.68,-0.33,-0.07,-0.55,-0.17,-0.25,-0.1,-0.12,-0.23,-0.07,-0.32,-0.35,-0.2,-0.33,-0.03,0.23,-0.22,-0.17,0.12,-0.08,-0.2,-0.45,-0.45,-0.5,0.18
gpt4o_mini,-0.32,-0.25,0.22,0.33,-0.4,0.05,-0.03,0.17,-0.35,-0.05,-0.02,0.0,0.17,-0.05,0.77,0.72,-0.3,-0.1,-0.47,0.48,-0.18,0.37,-0.28,-0.33,-0.07,-0.22,-0.35,-0.12,0.12,0.03,0.12,-0.55,0.02,0.2,0.4,-0.43,-0.18,-0.48,-0.1,-0.03
