model,persona_gender_slope
llama2_7b,-0.0019704718355702
llama2_7b_chat,-0.0906907690973241
llama2_13b,0.0180496621985699
llama2_13b_chat,0.1300958250354185
llama3_8b,0.1383369357892532
llama3_8b_instruct,0.2342749951592455
llama3.1_8b,0.2207471671729381
llama3.1_8b_instruct,0.1184052933760079
mistral_7b_v01,-0.0183633255676825
mistral_7b_plus,0.037595796560392
qwen1.5_7b,-0.0255565553453758
qwen1.5_7b_chat,-0.1945580281613631
qwen2_7b,0.1936345611472719
qwen2_7b_instruct,-1.4532085221811697
gpt3.5,1.7269875787553526
gpt4,1.644822670677119
gpt4o_mini,1.9130688105587152
