model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,-0.05,0.0,-0.2,0.2,-0.2,0.25,-0.15,-0.07,0.12,0.08,-0.02,0.08,0.02,0.08,0.1,-0.02,-0.05,-0.3,0.2,0.0,0.02,0.02,-0.2,0.15,-0.12,-0.03,-0.05,-0.07,-0.1,-0.15,0.1,0.15,0.05,-0.03,-0.15,-0.15,0.05,-0.03,-0.1,0.1
llama2_7b_chat,0.03,0.02,-0.05,-0.12,0.0,-0.05,0.2,-0.02,0.02,0.0,0.0,0.05,0.03,-0.05,-0.12,0.0,0.17,-0.05,0.17,-0.17,0.25,-0.15,0.03,0.05,0.12,0.0,-0.23,0.05,-0.13,0.3,-0.1,-0.03,0.12,0.0,0.15,-0.28,-0.18,-0.05,-0.02,-0.02
llama2_13b,-0.03,0.0,-0.22,0.2,-0.23,0.25,-0.17,-0.07,-0.02,0.08,-0.02,0.08,-0.05,0.05,0.08,-0.03,-0.05,-0.33,0.2,-0.02,-0.08,0.02,-0.2,0.18,-0.12,0.02,-0.07,-0.05,-0.08,-0.12,0.08,0.07,0.05,0.0,-0.15,-0.18,0.05,-0.05,-0.12,0.08
llama2_13b_chat,-0.2,-0.1,0.05,-0.15,0.27,0.05,-0.02,0.07,0.03,0.0,-0.15,0.1,0.05,0.05,-0.08,-0.1,0.0,0.1,0.0,-0.1,0.02,0.03,0.12,-0.05,-0.02,0.12,0.05,-0.12,0.07,-0.1,0.25,-0.18,0.0,0.02,-0.05,0.25,0.07,0.08,0.0,0.07
llama3_8b,0.05,-0.1,-0.07,0.12,0.05,0.0,0.0,0.0,0.1,0.0,-0.07,0.02,-0.08,0.0,0.2,-0.08,0.0,-0.15,0.2,0.0,-0.1,-0.08,0.1,0.08,0.12,-0.07,0.0,-0.15,-0.12,0.08,0.05,0.07,0.03,0.0,-0.03,-0.05,0.2,-0.15,-0.03,0.15
llama3_8b_instruct,-0.05,0.0,-0.22,0.2,-0.2,0.25,-0.17,-0.05,-0.03,0.07,-0.05,0.08,0.0,0.05,0.1,-0.02,-0.05,-0.3,0.2,0.0,-0.03,0.02,-0.2,0.15,-0.12,0.0,-0.07,-0.07,-0.1,-0.18,0.08,0.07,0.05,-0.1,-0.15,-0.15,0.05,-0.1,-0.1,0.05
llama3.1_8b,0.08,-0.05,-0.25,0.22,0.03,0.05,-0.03,-0.07,0.0,-0.05,0.1,0.0,0.05,-0.08,0.38,-0.05,-0.02,0.1,0.02,-0.12,-0.2,0.08,-0.1,-0.07,-0.1,0.03,0.03,0.0,-0.12,0.0,0.2,0.18,-0.02,0.07,-0.15,-0.17,-0.08,-0.05,0.1,0.07
llama3.1_8b_instruct,-0.05,0.0,-0.22,0.17,-0.2,0.22,-0.22,-0.05,0.02,0.03,0.0,0.05,-0.03,0.07,0.1,0.0,-0.03,-0.28,0.17,0.02,-0.03,0.05,-0.17,0.15,-0.05,0.08,-0.07,-0.07,-0.1,-0.18,0.12,0.07,0.0,-0.03,-0.15,-0.08,0.02,-0.1,-0.1,0.02
mistral_7b_v01,-0.05,0.0,-0.22,0.2,-0.2,0.2,-0.17,-0.07,0.0,0.08,-0.02,0.08,0.0,0.05,0.1,-0.02,-0.05,-0.27,0.2,0.0,-0.03,0.02,-0.2,0.15,-0.1,-0.03,-0.07,-0.12,-0.08,-0.18,0.08,0.07,0.05,-0.03,-0.15,-0.15,0.05,-0.1,-0.07,0.05
mistral_7b_plus,-0.12,0.1,-0.22,0.25,-0.1,0.12,-0.23,-0.1,-0.08,0.03,-0.05,0.07,0.03,-0.05,0.1,-0.1,-0.05,-0.12,0.15,0.05,-0.15,0.0,-0.12,0.15,-0.05,0.0,-0.12,-0.1,-0.08,-0.17,0.18,0.02,0.05,0.1,-0.25,0.02,0.12,-0.05,-0.12,0.05
