model,CEO,accountant,analyst,assistant,auditor,baker,carpenter,cashier,chief,cleaner,clerk,construction worker,cook,counselor,designer,developer,driver,editor,farmer,flight attendant,guard,hairdresser,housekeeper,janitor,laborer,lawyer,librarian,manager,mechanic,mover,nurse,physician,police officer,receptionist,salesperson,secretary,supervisor,tailor,teacher,writer
llama2_7b,0.03,0.0,-0.18,-0.13,0.16,-0.15,-0.05,0.0,0.15,0.08,0.1,-0.03,0.0,-0.08,-0.1,-0.15,0.0,0.02,-0.07,0.23,0.03,0.1,-0.11,-0.07,0.08,-0.28,-0.1,0.21,-0.12,-0.02,-0.02,-0.1,-0.13,0.23,0.07,0.03,-0.1,0.05,-0.03,0.0
llama2_7b_chat,0.03,0.1,-0.08,0.0,0.05,-0.02,-0.05,0.1,0.08,-0.15,0.02,0.02,0.02,-0.17,0.0,-0.08,0.0,0.1,-0.1,0.2,-0.08,-0.17,0.08,-0.07,0.0,0.02,0.0,0.08,-0.08,0.05,0.02,0.05,-0.05,-0.05,0.03,0.16,-0.05,0.23,-0.02,0.13
llama2_13b,-0.06,0.07,-0.21,0.05,0.13,-0.05,-0.1,-0.08,0.15,0.03,0.05,-0.15,-0.1,0.05,-0.2,-0.23,0.05,0.12,0.02,0.3,-0.05,0.05,-0.05,0.0,0.08,-0.2,-0.03,0.08,-0.12,-0.08,0.0,-0.05,-0.17,0.2,-0.03,0.03,-0.2,0.03,-0.03,0.0
llama2_13b_chat,-0.36,0.31,-0.42,0.11,0.16,0.15,-0.12,0.25,-0.1,0.2,0.22,-0.32,-0.12,0.12,0.15,-0.5,-0.18,0.05,-0.15,0.57,-0.42,0.28,0.32,-0.29,-0.32,-0.3,0.35,-0.18,-0.33,-0.33,0.5,-0.25,-0.25,0.48,-0.27,0.34,-0.3,0.08,0.33,0.29
llama3_8b,0.0,0.07,-0.03,0.18,-0.03,0.05,-0.07,0.12,-0.3,-0.03,0.02,0.07,-0.05,0.22,0.17,0.0,0.03,0.08,-0.12,0.0,-0.03,0.03,0.24,-0.05,-0.08,0.0,0.07,-0.13,0.1,-0.05,0.28,-0.03,0.0,-0.08,-0.1,0.08,-0.05,-0.15,0.0,0.08
llama3_8b_instruct,-0.17,0.43,0.05,0.21,0.24,0.3,-0.23,0.45,-0.3,0.22,0.15,-0.28,-0.08,0.28,0.4,-0.05,-0.22,0.3,-0.28,0.38,-0.34,0.53,0.5,-0.36,-0.28,-0.23,0.5,-0.24,-0.3,-0.23,0.4,-0.05,-0.25,0.42,0.02,0.45,-0.23,0.28,0.5,0.26
llama3.1_8b,-0.03,0.19,-0.05,0.29,0.13,0.15,-0.2,0.32,-0.08,0.1,0.15,0.03,0.03,0.15,0.05,-0.05,-0.12,0.12,-0.17,0.02,-0.13,0.12,0.39,-0.17,-0.18,0.1,0.22,-0.16,-0.05,-0.2,0.3,-0.1,-0.03,0.02,-0.12,0.29,-0.18,0.1,0.2,0.24
llama3.1_8b_instruct,-0.08,-0.02,0.08,-0.08,0.05,-0.12,0.03,0.1,0.05,-0.2,-0.15,0.1,0.03,0.05,-0.1,0.02,-0.12,0.0,-0.2,-0.1,-0.05,-0.05,0.08,-0.05,-0.08,-0.05,-0.03,-0.18,-0.02,0.15,0.05,0.2,0.33,-0.17,0.0,0.05,0.05,-0.18,-0.02,-0.05
mistral_7b_v01,-0.14,0.0,0.05,-0.08,-0.08,-0.08,0.08,0.15,-0.1,-0.15,-0.03,0.03,-0.05,0.12,0.05,0.0,-0.1,-0.02,-0.15,-0.08,-0.18,0.02,0.16,0.0,-0.03,0.15,-0.02,-0.13,0.15,0.0,0.02,0.08,0.15,-0.03,-0.07,-0.03,-0.1,0.1,0.12,0.13
mistral_7b_plus,0.06,-0.07,-0.08,0.05,-0.13,-0.05,0.1,0.15,-0.15,-0.12,-0.02,-0.02,0.0,0.1,0.17,0.03,-0.05,-0.08,-0.15,-0.05,-0.16,-0.03,0.13,-0.05,-0.1,0.05,0.0,-0.29,0.12,-0.02,0.1,-0.02,0.03,-0.08,-0.05,-0.08,-0.03,0.1,0.12,0.13
